Date,Open,High,Low,Close,Adj Close,Volume
1995-12-01,9.093750,9.125000,8.218750,8.718750,6.728942,12823600
1996-01-01,8.718750,9.531250,8.031250,9.218750,7.114833,15616400
1996-02-01,9.187500,9.843750,8.781250,9.156250,7.066597,12762000
1996-03-01,9.281250,9.531250,8.406250,8.937500,6.897769,8075200
1996-04-01,8.968750,9.875000,8.000000,9.156250,7.083988,14651600
1996-05-01,9.187500,9.687500,8.875000,9.500000,7.349938,12302800
1996-06-01,9.437500,11.000000,9.312500,10.562500,8.171971,12904000
1996-07-01,10.750000,10.843750,8.687500,9.625000,7.462359,8834400
1996-08-01,9.687500,11.062500,9.437500,10.750000,8.334582,8074800
1996-09-01,10.687500,11.875000,10.125000,11.218750,8.698009,13628800
1996-10-01,11.250000,11.343750,10.593750,10.750000,8.350011,4499200
1996-11-01,10.906250,13.375000,10.812500,12.500000,9.709317,10294800
1996-12-01,12.468750,12.718750,11.500000,12.718750,9.879228,5318000
1997-01-01,12.593750,13.062500,11.812500,11.968750,9.313164,9843200
1997-02-01,11.812500,12.125000,11.218750,11.625000,9.045685,30925600
1997-03-01,11.593750,12.718750,11.531250,12.093750,9.410428,12510400
1997-04-01,12.093750,12.187500,9.843750,11.437500,8.915089,19709200
1997-05-01,11.468750,13.125000,11.437500,13.031250,10.157361,10766800
1997-06-01,12.843750,12.968750,11.281250,12.562500,9.791987,14064000
1997-07-01,12.500000,12.500000,11.187500,11.515625,8.990899,13679200
1997-08-01,11.562500,12.562500,11.515625,11.875000,9.271482,16280000
1997-09-01,11.875000,12.734375,11.359375,11.562500,9.027498,20835200
1997-10-01,11.562500,11.875000,9.750000,11.109375,8.688359,23406400
1997-11-01,11.203125,13.859375,11.078125,13.390625,10.472466,19723600
1997-12-01,13.421875,14.093750,12.218750,12.859375,10.056991,13759600
1998-01-01,12.906250,13.968750,12.125000,13.734375,10.758140,10895600
1998-02-01,13.765625,15.015625,13.765625,14.625000,11.455770,15072400
1998-03-01,14.656250,17.250000,14.640625,16.968750,13.291629,12535200
1998-04-01,17.000000,18.484375,16.250000,16.609375,13.027657,8868400
1998-05-01,16.750000,17.265625,15.421875,15.968750,12.525178,7260000
1998-06-01,15.906250,17.500000,15.218750,17.421875,13.664945,29316800
1998-07-01,17.421875,17.562500,15.718750,16.062500,12.615382,12583600
1998-08-01,15.937500,16.453125,14.250000,14.718750,11.560014,20916000
1998-09-01,14.718750,15.406250,12.375000,12.812500,10.062854,26726800
1998-10-01,12.750000,16.625000,11.671875,16.390625,12.893894,28740000
1998-11-01,16.390625,19.656250,16.187500,18.796875,14.786796,23792400
1998-12-01,18.781250,21.625000,17.750000,21.375000,16.814913,15205600
1999-01-01,21.125000,21.437500,19.187500,20.515625,16.157877,17262000
1999-02-01,20.562500,22.437500,20.046875,21.703125,17.093136,23386000
1999-03-01,21.765625,23.875000,21.437500,23.625000,18.606783,16692400
1999-04-01,23.750000,25.750000,20.937500,25.031250,19.732157,19098400
1999-05-01,25.093750,25.187500,22.625000,22.812500,17.983110,29246400
1999-06-01,22.812500,25.062500,22.500000,25.062500,19.756788,15256000
1999-07-01,24.750000,28.250000,23.750000,23.781250,18.767380,17794000
1999-08-01,23.812500,25.656250,22.250000,22.968750,18.126177,18801600
1999-09-01,22.968750,23.312500,19.125000,19.531250,15.413416,22594000
1999-10-01,19.218750,25.000000,18.625000,23.312500,18.420128,22807800
1999-11-01,23.343750,23.437500,20.531250,21.093750,16.667004,22245400
1999-12-01,21.312500,25.718750,20.125000,25.218750,19.926325,18472400
2000-01-01,25.218750,27.937500,23.250000,25.562500,20.222677,23525200
2000-02-01,25.875000,26.968750,20.750000,21.687500,17.157137,19357000
2000-03-01,22.500000,26.625000,19.062500,25.031250,19.802401,37833000
2000-04-01,25.031250,27.156250,20.656250,22.093750,17.500261,32504800
2000-05-01,22.000000,24.937500,20.562500,22.406250,17.747787,39390400
2000-06-01,22.343750,24.875000,22.000000,24.710938,19.573313,26801200
2000-07-01,24.656250,24.875000,21.500000,22.000000,17.444611,20432800
2000-08-01,22.000000,23.468750,20.406250,20.468750,16.230429,29826000
2000-09-01,20.468750,21.437500,17.125000,18.312500,14.520656,52181400
2000-10-01,18.250000,23.218750,16.875000,23.218750,18.432686,60019000
2000-11-01,23.343750,23.625000,20.718750,21.656250,17.192266,27872400
2000-12-01,21.750000,22.656250,19.406250,21.906250,17.390730,33457600
2001-01-01,21.875000,22.000000,18.600000,19.049999,15.140516,50091400
2001-02-01,19.290001,20.299999,18.940001,19.320000,15.355103,29066200
2001-03-01,19.125000,20.799999,16.590000,18.209999,14.472904,35063400
2001-04-01,18.174999,20.400000,17.924999,19.875000,15.816724,26365400
2001-05-01,20.125000,21.299999,19.705000,20.299999,16.154938,23294800
2001-06-01,20.549999,22.174999,19.850000,21.549999,17.149706,33899600
2001-07-01,21.549999,21.775000,19.469999,19.775000,15.755745,22207000
2001-08-01,19.825001,20.674999,18.424999,19.424999,15.476875,32739400
2001-09-01,19.424999,19.600000,15.150000,16.575001,13.206141,47952000
2001-10-01,16.575001,17.450001,16.000000,16.125000,12.855994,43655000
2001-11-01,16.184999,17.049999,15.325000,16.684999,13.302463,50660600
2001-12-01,16.575001,16.905001,14.625000,16.030001,12.780253,58463200
2002-01-01,15.950000,17.875000,15.775000,16.150000,12.895472,65279800
2002-02-01,16.000000,16.350000,14.625000,15.600000,12.456306,52736200
2002-03-01,15.535000,17.799999,15.355000,17.080000,13.638061,45245600
2002-04-01,17.100000,19.400000,16.799999,18.075001,14.455141,45984800
2002-05-01,18.075001,19.075001,17.495001,18.375000,14.695061,51978600
2002-06-01,18.375000,19.150000,16.750000,17.600000,14.075266,54998600
2002-07-01,17.700001,17.995001,13.575000,15.160000,12.140903,70354600
2002-08-01,15.100000,15.400000,12.900000,14.975000,11.992745,63414800
2002-09-01,14.850000,16.565001,13.980000,14.370000,11.508229,52641600
2002-10-01,14.455000,15.050000,12.600000,14.560000,11.660395,55175400
2002-11-01,14.510000,14.700000,12.940000,13.640000,10.923608,37759600
2002-12-01,13.760000,14.050000,12.700000,13.200000,10.571239,46948600
2003-01-01,13.300000,15.245000,12.865000,15.085000,12.169995,60692800
2003-02-01,15.115000,15.125000,14.005000,14.025000,11.314832,34567400
2003-03-01,14.150000,15.520000,13.500000,15.180000,12.246640,41192600
2003-04-01,15.255000,16.559999,14.455000,16.250000,13.109875,54559000
2003-05-01,16.150000,17.450001,16.084999,16.660000,13.440644,43489400
2003-06-01,16.660000,17.995001,16.320000,16.764999,13.525357,38686000
2003-07-01,16.700001,18.965000,16.469999,18.665001,15.058203,31620200
2003-08-01,18.540001,18.995001,16.299999,17.245001,13.912605,56423800
2003-09-01,17.325001,17.975000,16.500000,17.049999,13.755286,27496400
2003-10-01,17.105000,19.375000,17.105000,18.695000,15.082404,31859400
2003-11-01,18.750000,19.100000,18.075001,19.000000,15.328471,24495800
2003-12-01,19.000000,20.100000,18.295000,19.629999,15.836732,27101200
2004-01-01,19.504999,21.055000,18.775000,20.485001,16.657917,28165200
2004-02-01,20.450001,21.785000,20.125000,21.299999,17.320658,26969600
2004-03-01,21.350000,22.290001,20.900000,22.170000,18.028114,34777000
2004-04-01,22.295000,23.200001,21.500000,22.855000,18.585144,32843400
2004-05-01,22.855000,23.545000,21.750000,22.895000,18.617668,42661400
2004-06-01,22.895000,24.495001,22.059999,24.389999,19.833368,52044000
2004-07-01,24.375000,24.670000,21.555000,21.950001,17.849224,35490600
2004-08-01,21.760000,22.205000,19.420000,21.975000,17.869549,61991200
2004-09-01,21.924999,22.735001,20.575001,20.900000,16.995384,36654600
2004-10-01,20.924999,22.100000,20.110001,21.475000,17.462957,38639600
2004-11-01,20.750000,22.684999,20.650000,21.820000,17.743505,46233000
2004-12-01,21.795000,23.480000,21.764999,22.885000,18.609539,30452800
2005-01-01,22.895000,23.750000,21.844999,22.570000,18.518324,37030000
2005-02-01,22.570000,22.860001,21.350000,21.990000,18.042446,41001000
2005-03-01,22.014999,23.250000,20.924999,22.490000,18.452688,61228800
2005-04-01,22.750000,22.924999,18.674999,19.205000,15.757400,50821400
2005-05-01,19.330000,20.020000,18.420000,19.545000,16.036367,61728000
2005-06-01,19.520000,20.120001,19.094999,19.565001,16.052773,36401200
2005-07-01,19.549999,19.754999,18.580000,19.570000,16.056871,42153400
2005-08-01,19.549999,21.004999,18.645000,20.195000,16.569674,72928400
2005-09-01,20.139999,20.575001,16.825001,17.415001,14.288735,84749200
2005-10-01,17.455000,17.830000,14.990000,16.584999,13.607726,74008400
2005-11-01,16.540001,17.075001,16.125000,16.504999,13.542089,49339000
2005-12-01,16.600000,17.389999,16.355000,16.740000,13.734902,34238400
2006-01-01,16.795000,18.500000,16.395000,18.235001,15.139112,113098800
2006-02-01,18.200001,19.620001,18.145000,18.709999,15.533467,49204000
2006-03-01,18.660000,19.004999,18.254999,18.594999,15.437991,30101800
2006-04-01,18.590000,18.764999,17.405001,18.559999,15.408931,22309200
2006-05-01,18.540001,20.855000,18.235001,20.469999,16.994661,52427000
2006-06-01,20.500000,20.760000,18.650000,19.334999,16.052353,45548800
2006-07-01,19.445000,19.549999,18.049999,18.660000,15.491953,29483800
2006-08-01,18.549999,19.625000,17.440001,18.430000,15.301006,68135000
2006-09-01,18.525000,20.575001,18.400000,20.165001,16.741436,46175800
2006-10-01,20.080000,21.799999,19.555000,20.195000,16.766344,59163200
2006-11-01,20.160000,21.010000,19.525000,20.645000,17.139944,56125400
2006-12-01,20.590000,21.075001,20.139999,20.410000,16.944847,36061800
2007-01-01,20.500000,24.075001,19.834999,23.750000,19.955471,47431800
2007-02-01,23.500000,24.365000,22.799999,23.934999,20.110914,60310000
2007-03-01,23.500000,25.059999,22.705000,24.424999,20.522617,107050600
2007-04-01,24.520000,26.155001,24.379999,25.709999,21.602320,36285600
2007-05-01,25.715000,25.750000,22.870001,23.650000,19.871441,80688200
2007-06-01,23.605000,23.799999,22.334999,22.754999,19.119438,46921600
2007-07-01,22.750000,23.990000,22.400000,22.510000,18.913580,42298000
2007-08-01,22.445000,22.665001,19.205000,20.795000,17.472584,78118800
2007-09-01,20.879999,21.565001,19.815001,21.230000,17.838083,63067200
2007-10-01,21.389999,23.525000,20.875000,21.950001,18.443050,57299600
2007-11-01,21.879999,22.750000,20.309999,22.440001,18.854763,61071600
2007-12-01,22.340000,22.645000,21.025000,21.805000,18.321220,47902800
2008-01-01,21.790001,21.860001,18.514999,21.110001,17.963133,98160000
2008-02-01,22.620001,22.924999,20.745001,21.290001,18.116302,76189000
2008-03-01,21.219999,23.330000,21.209999,22.924999,19.507572,72546600
2008-04-01,23.230000,23.985001,21.915001,22.805000,19.405455,66389400
2008-05-01,22.805000,24.545000,22.000000,23.799999,20.252132,72781400
2008-06-01,23.805000,24.715000,22.639999,23.225000,19.762852,64103800
2008-07-01,22.945000,23.240000,20.375000,22.049999,18.763006,83661200
2008-08-01,22.040001,26.020000,21.879999,24.885000,21.175390,94804400
2008-09-01,25.195000,27.375000,24.055000,24.955000,21.234959,86985400
2008-10-01,24.754999,25.445000,15.770000,18.020000,15.333757,136218800
2008-11-01,17.959999,18.490000,12.120000,13.950000,11.870473,95416400
2008-12-01,13.630000,15.560000,12.465000,15.480000,13.446509,84899800
2009-01-01,15.755000,16.415001,12.250000,13.125000,11.400869,122903600
2009-02-01,13.065000,14.450000,11.205000,11.325000,9.837320,102230600
2009-03-01,11.130000,13.010000,9.905000,12.325000,10.705958,100402800
2009-04-01,12.155000,15.270000,12.015000,14.950000,12.986131,87052400
2009-05-01,14.775000,18.500000,14.775000,16.540001,14.367268,109910400
2009-06-01,16.730000,17.340000,15.285000,16.334999,14.189195,56695600
2009-07-01,16.330000,18.605000,15.000000,18.219999,15.826577,54596200
2009-08-01,18.299999,19.105000,17.080000,17.924999,15.570330,67182000
2009-09-01,17.795000,18.955000,16.570000,18.540001,16.104548,66675200
2009-10-01,18.424999,22.719999,17.799999,21.250000,18.458549,93864400
2009-11-01,21.575001,24.615000,21.370001,23.415001,20.339153,91073600
2009-12-01,23.580000,25.285000,23.545000,24.180000,21.246857,74018000
2010-01-01,24.344999,26.990000,23.825001,26.260000,23.074545,87815800
2010-02-01,26.420000,30.370001,26.225000,30.065001,26.417984,77376600
2010-03-01,30.225000,32.875000,30.145000,32.435001,28.500496,66815200
2010-04-01,32.580002,35.645000,31.260000,32.959999,28.961802,84146200
2010-05-01,33.049999,33.180000,28.174999,29.135000,25.600800,105376800
2010-06-01,28.820000,30.400000,27.084999,27.865000,24.484852,80414400
2010-07-01,27.889999,32.564999,27.695000,31.125000,27.349401,82506000
2010-08-01,31.605000,32.145000,27.305000,28.035000,24.634226,88413000
2010-09-01,28.415001,32.345001,28.415001,31.615000,27.779961,56346200
2010-10-01,32.005001,37.154999,31.230000,35.584999,31.268383,63774400
